"Mailing jail with Mailtrap.io","Gaiola de E-mails com o Mailtrap.io"
"Configuration","Configuração"
"Version","Versão"
"Enable","Habilitar"
"Authentication method","Método de Autenticação"
"The mailtrap server name (may differ according to your plan).","Nome do host SMTP do Mailtrap (pode variar dependendo do seu plano)"
"SMTP Host","Servidor SMTP"
"SMTP Port","Porta SMTP"
"Use 25 (obsolete), 465 (ssl), 587 (tls) or 2525.","Use 25 (obsoleta), 465 (ssl), 587 (tls) ou 2525."
"Username","Nome de Usuário"
"Find your SMTP Credentials on the Integration tab of your mailbox.","Encontre suas credenciais de SMTP na aba Integration da sua conta Mailtrap."
"Password","Senha"
"Stores > Configuration > Advanced > System","Stores > Configuration > Advanced > System"
"None","Nenhum"
"Please enter a valid username/password","Please enter a valid username/password"
"""Disable Email Communications"" is set is ""Yes"", please set to ""NO"" in ""Mail Sending Setting""","""Disable Email Communications"" is set is ""Yes"", please set to ""NO"" in ""Mail Sending Setting"""
"SMTP module is not enabled","SMTP module is not enabled"
"Stores > Configuration > Advanced > System > SMTP Configuration and Settings","Stores > Configuration > Advanced > System > SMTP Configuration and Settings"
